Timestamp.2014,2014,Timestamp.2013,2013,Timestamp.2012,2012,Timestamp.2011,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-07-2013,NA,27-07-2012,NA,27-07-2011,NA,27-07-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-07-2013,NA,28-07-2012,NA,28-07-2011,NA,28-07-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-07-2013,NA,29-07-2012,NA,29-07-2011,NA,29-07-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-07-2013,NA,30-07-2012,NA,30-07-2011,NA,30-07-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-07-2013,NA,31-07-2012,NA,31-07-2011,NA,31-07-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2013,NA,01-08-2012,NA,01-08-2011,NA,01-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-08-2013,NA,02-08-2012,NA,02-08-2011,NA,02-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-08-2013,NA,03-08-2012,NA,03-08-2011,NA,03-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-08-2013,NA,04-08-2012,NA,04-08-2011,NA,04-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-08-2013,NA,05-08-2012,NA,05-08-2011,NA,05-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-08-2013,NA,06-08-2012,NA,06-08-2011,NA,06-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-08-2013,NA,07-08-2012,NA,07-08-2011,NA,07-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-08-2013,NA,08-08-2012,NA,08-08-2011,NA,08-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-08-2013,NA,09-08-2012,NA,09-08-2011,NA,09-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-08-2013,NA,10-08-2012,NA,10-08-2011,NA,10-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-08-2013,NA,11-08-2012,NA,11-08-2011,NA,11-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-08-2013,NA,12-08-2012,NA,12-08-2011,NA,12-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-08-2013,NA,13-08-2012,NA,13-08-2011,NA,13-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-08-2013,NA,14-08-2012,NA,14-08-2011,NA,14-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-08-2013,NA,15-08-2012,NA,15-08-2011,NA,15-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-08-2013,NA,16-08-2012,NA,16-08-2011,NA,16-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-08-2013,NA,17-08-2012,NA,17-08-2011,NA,17-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-08-2013,NA,18-08-2012,NA,18-08-2011,NA,18-08-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
