Timestamp.2014,2014,Timestamp.2013,2013,Timestamp.2012,2012,Timestamp.2011,2011
08-10-2013,NA,08-10-2012,NA,08-10-2011,NA,08-10-2010,NA
09-10-2013,NA,09-10-2012,NA,09-10-2011,NA,09-10-2010,NA
10-10-2013,NA,10-10-2012,NA,10-10-2011,NA,10-10-2010,NA
11-10-2013,NA,11-10-2012,NA,11-10-2011,NA,11-10-2010,NA
12-10-2013,NA,12-10-2012,NA,12-10-2011,NA,12-10-2010,NA
13-10-2013,NA,13-10-2012,NA,13-10-2011,NA,13-10-2010,NA
14-10-2013,NA,14-10-2012,NA,14-10-2011,NA,14-10-2010,NA
15-10-2013,NA,15-10-2012,NA,15-10-2011,NA,15-10-2010,NA
16-10-2013,-4,16-10-2012,3,16-10-2011,NA,16-10-2010,NA
17-10-2013,-12,17-10-2012,-18,17-10-2011,-2,17-10-2010,NA
18-10-2013,-1,18-10-2012,-10,18-10-2011,-29,18-10-2010,-5
19-10-2013,NA,19-10-2012,-5,19-10-2011,NA,19-10-2010,0
20-10-2013,NA,20-10-2012,NA,20-10-2011,-11,20-10-2010,-10
21-10-2013,-17,21-10-2012,NA,21-10-2011,-13,21-10-2010,-3
22-10-2013,-7,22-10-2012,-26,22-10-2011,NA,22-10-2010,-8
23-10-2013,-15,23-10-2012,-21,23-10-2011,NA,23-10-2010,NA
24-10-2013,0,24-10-2012,-39,24-10-2011,-6,24-10-2010,NA
25-10-2013,1,25-10-2012,-13,25-10-2011,-8,25-10-2010,3
26-10-2013,NA,26-10-2012,NA,26-10-2011,NA,26-10-2010,NA
27-10-2013,NA,27-10-2012,NA,27-10-2011,-14,27-10-2010,7
28-10-2013,6,28-10-2012,NA,28-10-2011,-10,28-10-2010,1
29-10-2013,2,29-10-2012,-8,29-10-2011,NA,29-10-2010,NA
30-10-2013,4,30-10-2012,-15,30-10-2011,NA,30-10-2010,NA
31-10-2013,8,31-10-2012,-18,31-10-2011,0,31-10-2010,NA
01-11-2013,9,01-11-2012,-15,01-11-2011,-4,01-11-2010,9
02-11-2013,NA,02-11-2012,-12,02-11-2011,-2,02-11-2010,NA
03-11-2013,NA,03-11-2012,NA,03-11-2011,-2,03-11-2010,NA
04-11-2013,20,04-11-2012,NA,04-11-2011,2,04-11-2010,11
05-11-2013,NA,05-11-2012,-16,05-11-2011,NA,05-11-2010,NA
06-11-2013,2,06-11-2012,-18,06-11-2011,NA,06-11-2010,NA
07-11-2013,1,07-11-2012,-15,07-11-2011,NA,07-11-2010,NA
08-11-2013,0,08-11-2012,-29,08-11-2011,-8,08-11-2010,7
09-11-2013,NA,09-11-2012,-28,09-11-2011,-7,09-11-2010,8
10-11-2013,NA,10-11-2012,NA,10-11-2011,-3,10-11-2010,5
11-11-2013,6,11-11-2012,NA,11-11-2011,-4,11-11-2010,5
12-11-2013,6,12-11-2012,-37,12-11-2011,NA,12-11-2010,4
13-11-2013,1,13-11-2012,NA,13-11-2011,NA,13-11-2010,NA
14-11-2013,7,14-11-2012,-40,14-11-2011,9,14-11-2010,NA
15-11-2013,-1,15-11-2012,NA,15-11-2011,0,15-11-2010,10
16-11-2013,NA,16-11-2012,-24,16-11-2011,6,16-11-2010,-5
17-11-2013,NA,17-11-2012,NA,17-11-2011,4,17-11-2010,NA
18-11-2013,0,18-11-2012,NA,18-11-2011,10,18-11-2010,11
19-11-2013,-4,19-11-2012,-27,19-11-2011,NA,19-11-2010,-1
20-11-2013,-4,20-11-2012,-27,20-11-2011,NA,20-11-2010,NA
21-11-2013,3,21-11-2012,-25,21-11-2011,7,21-11-2010,NA
22-11-2013,7,22-11-2012,-27,22-11-2011,-11,22-11-2010,9
23-11-2013,NA,23-11-2012,-29,23-11-2011,0,23-11-2010,8
24-11-2013,NA,24-11-2012,NA,24-11-2011,0,24-11-2010,15
25-11-2013,0,25-11-2012,NA,25-11-2011,12,25-11-2010,16
26-11-2013,1,26-11-2012,-36,26-11-2011,NA,26-11-2010,25
27-11-2013,-1,27-11-2012,-26,27-11-2011,NA,27-11-2010,NA
28-11-2013,-1,28-11-2012,-20,28-11-2011,NA,28-11-2010,NA
29-11-2013,4,29-11-2012,-24,29-11-2011,1,29-11-2010,18
30-11-2013,NA,30-11-2012,-26,30-11-2011,1,30-11-2010,31
01-12-2013,NA,01-12-2012,NA,01-12-2011,5,01-12-2010,14
02-12-2013,2,02-12-2012,NA,02-12-2011,2,02-12-2010,26
03-12-2013,2,03-12-2012,-22,03-12-2011,NA,03-12-2010,26
04-12-2013,8,04-12-2012,-27,04-12-2011,NA,04-12-2010,NA
05-12-2013,2,05-12-2012,-31,05-12-2011,10,05-12-2010,NA
06-12-2013,8,06-12-2012,-33,06-12-2011,1,06-12-2010,31
07-12-2013,NA,07-12-2012,-30,07-12-2011,-3,07-12-2010,NA
08-12-2013,NA,08-12-2012,NA,08-12-2011,4,08-12-2010,15
09-12-2013,3,09-12-2012,NA,09-12-2011,13,09-12-2010,36
10-12-2013,3,10-12-2012,-33,10-12-2011,NA,10-12-2010,34
11-12-2013,-2,11-12-2012,-34,11-12-2011,NA,11-12-2010,NA
12-12-2013,4,12-12-2012,-42,12-12-2011,-5,12-12-2010,NA
13-12-2013,2,13-12-2012,-40,13-12-2011,4,13-12-2010,50
14-12-2013,NA,14-12-2012,-40,14-12-2011,0,14-12-2010,39
15-12-2013,NA,15-12-2012,NA,15-12-2011,0,15-12-2010,39
16-12-2013,3,16-12-2012,NA,16-12-2011,2,16-12-2010,31
17-12-2013,5,17-12-2012,-42,17-12-2011,NA,17-12-2010,11
18-12-2013,3,18-12-2012,-43,18-12-2011,NA,18-12-2010,NA
19-12-2013,0,19-12-2012,-45,19-12-2011,3,19-12-2010,NA
20-12-2013,-1,20-12-2012,-39,20-12-2011,1,20-12-2010,19
21-12-2013,NA,21-12-2012,-38,21-12-2011,-4,21-12-2010,20
22-12-2013,NA,22-12-2012,NA,22-12-2011,8,22-12-2010,18
23-12-2013,-1,23-12-2012,NA,23-12-2011,7,23-12-2010,15
24-12-2013,0,24-12-2012,-35,24-12-2011,NA,24-12-2010,18
25-12-2013,NA,25-12-2012,NA,25-12-2011,NA,25-12-2010,NA
26-12-2013,5,26-12-2012,-40,26-12-2011,NA,26-12-2010,NA
27-12-2013,2,27-12-2012,-45,27-12-2011,3,27-12-2010,23
28-12-2013,NA,28-12-2012,-44,28-12-2011,3,28-12-2010,23
29-12-2013,NA,29-12-2012,NA,29-12-2011,9,29-12-2010,22
30-12-2013,2,30-12-2012,NA,30-12-2011,10,30-12-2010,18
31-12-2013,2,31-12-2012,-29,31-12-2011,NA,31-12-2010,NA
01-01-2014,NA,01-01-2013,NA,01-01-2012,NA,01-01-2011,NA
02-01-2014,2,02-01-2013,-34,02-01-2012,NA,02-01-2011,NA
03-01-2014,0,03-01-2013,-28,03-01-2012,5,03-01-2011,18
04-01-2014,NA,04-01-2013,-32,04-01-2012,6,04-01-2011,25
05-01-2014,NA,05-01-2013,NA,05-01-2012,5,05-01-2011,23
06-01-2014,-3,06-01-2013,NA,06-01-2012,10,06-01-2011,33
07-01-2014,-5,07-01-2013,-30,07-01-2012,NA,07-01-2011,30
08-01-2014,-3,08-01-2013,-26,08-01-2012,NA,08-01-2011,NA
09-01-2014,-2,09-01-2013,-18,09-01-2012,8,09-01-2011,NA
10-01-2014,-4,10-01-2013,-21,10-01-2012,0,10-01-2011,42
11-01-2014,NA,11-01-2013,-25,11-01-2012,5,11-01-2011,34
12-01-2014,NA,12-01-2013,NA,12-01-2012,19,12-01-2011,34
13-01-2014,-5,13-01-2013,NA,13-01-2012,3,13-01-2011,47
14-01-2014,NA,14-01-2013,-24,14-01-2012,NA,14-01-2011,43
15-01-2014,-7,15-01-2013,-20,15-01-2012,NA,15-01-2011,NA
16-01-2014,0,16-01-2013,-20,16-01-2012,1,16-01-2011,NA
17-01-2014,NA,17-01-2013,-22,17-01-2012,4,17-01-2011,58
18-01-2014,NA,18-01-2013,-21,18-01-2012,7,18-01-2011,58
19-01-2014,NA,19-01-2013,NA,19-01-2012,8,19-01-2011,54
20-01-2014,-4,20-01-2013,NA,20-01-2012,14,20-01-2011,NA
21-01-2014,-3,21-01-2013,-20,21-01-2012,NA,21-01-2011,55
22-01-2014,-2,22-01-2013,-24,22-01-2012,NA,22-01-2011,NA
23-01-2014,0,23-01-2013,-29,23-01-2012,NA,23-01-2011,NA
24-01-2014,-1,24-01-2013,NA,24-01-2012,NA,24-01-2011,58
25-01-2014,NA,25-01-2013,-29,25-01-2012,11,25-01-2011,64
26-01-2014,NA,26-01-2013,NA,26-01-2012,5,26-01-2011,61
27-01-2014,2,27-01-2013,NA,27-01-2012,9,27-01-2011,50
28-01-2014,2,28-01-2013,NA,28-01-2012,NA,28-01-2011,49
29-01-2014,-3,29-01-2013,-29,29-01-2012,NA,29-01-2011,NA
30-01-2014,8,30-01-2013,-24,30-01-2012,8,30-01-2011,NA
31-01-2014,NA,31-01-2013,-23,31-01-2012,3,31-01-2011,49
01-02-2014,NA,01-02-2013,NA,01-02-2012,NA,01-02-2011,NA
02-02-2014,NA,02-02-2013,NA,02-02-2012,6,02-02-2011,45
03-02-2014,NA,03-02-2013,NA,03-02-2012,5,03-02-2011,NA
04-02-2014,1,04-02-2013,-20,04-02-2012,NA,04-02-2011,NA
05-02-2014,1,05-02-2013,-17,05-02-2012,NA,05-02-2011,NA
06-02-2014,3,06-02-2013,-21,06-02-2012,NA,06-02-2011,NA
07-02-2014,1,07-02-2013,-16,07-02-2012,NA,07-02-2011,36
08-02-2014,NA,08-02-2013,-19,08-02-2012,9,08-02-2011,37
09-02-2014,NA,09-02-2013,NA,09-02-2012,2,09-02-2011,41
10-02-2014,5,10-02-2013,NA,10-02-2012,1,10-02-2011,38
11-02-2014,8,11-02-2013,NA,11-02-2012,NA,11-02-2011,49
12-02-2014,5,12-02-2013,NA,12-02-2012,NA,12-02-2011,NA
13-02-2014,4,13-02-2013,-18,13-02-2012,1,13-02-2011,NA
14-02-2014,5,14-02-2013,-16,14-02-2012,-1,14-02-2011,48
15-02-2014,NA,15-02-2013,-21,15-02-2012,-4,15-02-2011,NA
16-02-2014,NA,16-02-2013,NA,16-02-2012,-3,16-02-2011,45
17-02-2014,3,17-02-2013,NA,17-02-2012,-11,17-02-2011,56
18-02-2014,7,18-02-2013,-26,18-02-2012,NA,18-02-2011,51
19-02-2014,7,19-02-2013,-24,19-02-2012,NA,19-02-2011,NA
20-02-2014,14,20-02-2013,-23,20-02-2012,-8,20-02-2011,NA
21-02-2014,24,21-02-2013,-26,21-02-2012,-8,21-02-2011,51
22-02-2014,NA,22-02-2013,-26,22-02-2012,-9,22-02-2011,55
23-02-2014,NA,23-02-2013,NA,23-02-2012,-17,23-02-2011,38
24-02-2014,17,24-02-2013,NA,24-02-2012,-16,24-02-2011,23
25-02-2014,15,25-02-2013,-23,25-02-2012,NA,25-02-2011,24
26-02-2014,19,26-02-2013,-12,26-02-2012,NA,26-02-2011,NA
27-02-2014,10,27-02-2013,-10,27-02-2012,-18,27-02-2011,NA
28-02-2014,10,28-02-2013,-8,28-02-2012,-18,28-02-2011,37
2014-02-29,NA,2013-02-29,NA,29-02-2012,-25,2011-02-29,NA
01-03-2014,NA,01-03-2013,-7,01-03-2012,-17,01-03-2011,32
02-03-2014,NA,02-03-2013,NA,02-03-2012,-9,02-03-2011,34
03-03-2014,7,03-03-2013,NA,03-03-2012,NA,03-03-2011,30
04-03-2014,-5,04-03-2013,-6,04-03-2012,NA,04-03-2011,29
05-03-2014,-1,05-03-2013,-10,05-03-2012,-6,05-03-2011,NA
06-03-2014,2,06-03-2013,-7,06-03-2012,-5,06-03-2011,NA
07-03-2014,3,07-03-2013,-5,07-03-2012,9,07-03-2011,35
08-03-2014,NA,08-03-2013,-9,08-03-2012,7,08-03-2011,39
09-03-2014,NA,09-03-2013,NA,09-03-2012,2,09-03-2011,36
10-03-2014,1,10-03-2013,NA,10-03-2012,NA,10-03-2011,26
11-03-2014,23,11-03-2013,-7,11-03-2012,NA,11-03-2011,35
12-03-2014,19,12-03-2013,-3,12-03-2012,3,12-03-2011,NA
13-03-2014,10,13-03-2013,-6,13-03-2012,-3,13-03-2011,NA
14-03-2014,23,14-03-2013,-11,14-03-2012,-5,14-03-2011,28
15-03-2014,NA,15-03-2013,-14,15-03-2012,-10,15-03-2011,43
16-03-2014,NA,16-03-2013,NA,16-03-2012,0,16-03-2011,32
17-03-2014,45,17-03-2013,NA,17-03-2012,NA,17-03-2011,23
18-03-2014,91,18-03-2013,0,18-03-2012,NA,18-03-2011,26
19-03-2014,59,19-03-2013,-3,19-03-2012,4,19-03-2011,NA
20-03-2014,59,20-03-2013,-11,20-03-2012,-7,20-03-2011,NA
21-03-2014,61,21-03-2013,-12,21-03-2012,2,21-03-2011,26
22-03-2014,NA,22-03-2013,-21,22-03-2012,21,22-03-2011,25
23-03-2014,NA,23-03-2013,NA,23-03-2012,36,23-03-2011,19
24-03-2014,59,24-03-2013,NA,24-03-2012,NA,24-03-2011,34
25-03-2014,47,25-03-2013,-29,25-03-2012,NA,25-03-2011,32
26-03-2014,60,26-03-2013,-17,26-03-2012,26,26-03-2011,NA
27-03-2014,74,27-03-2013,-21,27-03-2012,20,27-03-2011,NA
28-03-2014,35,28-03-2013,-31,28-03-2012,13,28-03-2011,34
29-03-2014,NA,29-03-2013,-26,29-03-2012,18,29-03-2011,40
30-03-2014,NA,30-03-2013,NA,30-03-2012,31,30-03-2011,30
31-03-2014,53,31-03-2013,NA,31-03-2012,NA,31-03-2011,33
