Timestamp.2014,2014,Timestamp.2013,2013,Timestamp.2012,2012,Timestamp.2011,2011
19-03-2014,NA,19-03-2013,NA,19-03-2012,NA,19-03-2011,NA
20-03-2014,NA,20-03-2013,NA,20-03-2012,NA,20-03-2011,NA
21-03-2014,NA,21-03-2013,NA,21-03-2012,NA,21-03-2011,NA
22-03-2014,NA,22-03-2013,NA,22-03-2012,NA,22-03-2011,NA
23-03-2014,NA,23-03-2013,NA,23-03-2012,NA,23-03-2011,NA
24-03-2014,NA,24-03-2013,NA,24-03-2012,NA,24-03-2011,NA
25-03-2014,NA,25-03-2013,NA,25-03-2012,NA,25-03-2011,NA
26-03-2014,NA,26-03-2013,NA,26-03-2012,NA,26-03-2011,NA
27-03-2014,NA,27-03-2013,NA,27-03-2012,NA,27-03-2011,NA
28-03-2014,NA,28-03-2013,NA,28-03-2012,NA,28-03-2011,NA
29-03-2014,NA,29-03-2013,NA,29-03-2012,NA,29-03-2011,NA
30-03-2014,NA,30-03-2013,NA,30-03-2012,NA,30-03-2011,NA
31-03-2014,NA,31-03-2013,NA,31-03-2012,NA,31-03-2011,NA
01-04-2014,NA,01-04-2013,NA,01-04-2012,NA,01-04-2011,NA
02-04-2014,NA,02-04-2013,NA,02-04-2012,NA,02-04-2011,NA
03-04-2014,NA,03-04-2013,NA,03-04-2012,NA,03-04-2011,NA
04-04-2014,NA,04-04-2013,NA,04-04-2012,NA,04-04-2011,NA
05-04-2014,NA,05-04-2013,NA,05-04-2012,NA,05-04-2011,NA
06-04-2014,NA,06-04-2013,NA,06-04-2012,NA,06-04-2011,NA
07-04-2014,NA,07-04-2013,NA,07-04-2012,NA,07-04-2011,NA
08-04-2014,NA,08-04-2013,NA,08-04-2012,NA,08-04-2011,NA
09-04-2014,NA,09-04-2013,NA,09-04-2012,NA,09-04-2011,NA
10-04-2014,NA,10-04-2013,NA,10-04-2012,NA,10-04-2011,NA
11-04-2014,NA,11-04-2013,NA,11-04-2012,NA,11-04-2011,NA
12-04-2014,NA,12-04-2013,NA,12-04-2012,NA,12-04-2011,NA
13-04-2014,NA,13-04-2013,NA,13-04-2012,NA,13-04-2011,NA
14-04-2014,NA,14-04-2013,NA,14-04-2012,NA,14-04-2011,NA
15-04-2014,NA,15-04-2013,NA,15-04-2012,NA,15-04-2011,NA
16-04-2014,-5,16-04-2013,-7,16-04-2012,10,16-04-2011,NA
17-04-2014,-4,17-04-2013,-4,17-04-2012,7,17-04-2011,NA
18-04-2014,-1,18-04-2013,-3,18-04-2012,5,18-04-2011,NA
19-04-2014,NA,19-04-2013,-13,19-04-2012,15,19-04-2011,5
20-04-2014,NA,20-04-2013,NA,20-04-2012,58,20-04-2011,0
21-04-2014,-4,21-04-2013,NA,21-04-2012,NA,21-04-2011,1
22-04-2014,-1,22-04-2013,-4,22-04-2012,NA,22-04-2011,18
23-04-2014,1,23-04-2013,-1,23-04-2012,8,23-04-2011,NA
24-04-2014,0,24-04-2013,-1,24-04-2012,3,24-04-2011,NA
25-04-2014,0,25-04-2013,5,25-04-2012,2,25-04-2011,NA
26-04-2014,NA,26-04-2013,6,26-04-2012,15,26-04-2011,41
27-04-2014,NA,27-04-2013,NA,27-04-2012,22,27-04-2011,NA
28-04-2014,-1,28-04-2013,NA,28-04-2012,NA,28-04-2011,-20
29-04-2014,-5,29-04-2013,-11,29-04-2012,NA,29-04-2011,-1
30-04-2014,-4,30-04-2013,-2,30-04-2012,6,30-04-2011,NA
01-05-2014,NA,01-05-2013,NA,01-05-2012,NA,01-05-2011,NA
02-05-2014,-4,02-05-2013,1,02-05-2012,1,02-05-2011,NA
03-05-2014,NA,03-05-2013,3,03-05-2012,-4,03-05-2011,-3
04-05-2014,NA,04-05-2013,NA,04-05-2012,7,04-05-2011,8
05-05-2014,-2,05-05-2013,NA,05-05-2012,NA,05-05-2011,-10
06-05-2014,-1,06-05-2013,-8,06-05-2012,NA,06-05-2011,1
07-05-2014,-1,07-05-2013,-3,07-05-2012,-5,07-05-2011,NA
08-05-2014,2,08-05-2013,-3,08-05-2012,23,08-05-2011,NA
09-05-2014,-4,09-05-2013,-2,09-05-2012,2,09-05-2011,3
10-05-2014,NA,10-05-2013,1,10-05-2012,8,10-05-2011,-1
11-05-2014,NA,11-05-2013,NA,11-05-2012,17,11-05-2011,0
12-05-2014,-8,12-05-2013,NA,12-05-2012,NA,12-05-2011,NA
